script_id,actor,emotion_id,context,background
1,루시,normal,나도 모르게 여기 와버렸네.,공원
2,루시,normal,토끼동상. 주잉님과 자주 산책하던 길이었는데.,-
3,루시,fear,으웩… 저 더러운 걸 핥았던 거였어?,-
4,루시,normal,… 역시 없네…,-
5,루시,normal,근데 왜 기다리게 될까… 이젠 기대하지 않기로 했는데.,-
6,루시,normal,순진하게 믿을 시기는 다 지났는데… 다 날 버릴 거니까 말이야.,-
7,루시,normal,이렇게 구차하게 목숨을 부지할 이유가 있을까. ,-
8,루시,fear,그냥…,-
9,B-312,normal,야!!! ,-
10,B-312,anger,무슨 생각하는 거야!! 루시!!!,-
11,루시,normal,… B-312…? ,-
12,루시,fear,말도 안 돼… 이게 바로 주마등인거지?,-
13,B-312,irritation,뭔 주마등이야! 토끼동상 핥고 실성이라도 했니?,-
14,루시,fear,…진짜야?,-
15,루시,sad,진짜 다시 만나게 된 거냐고…,-
16,B-312,irritation,(볼을 꼬집는다.) 이러면 알겠냐고!!,-
17,루시,sad,… 볼이 얼얼해… 진짜인가 봐…,-
18,B-312,relief,너… 괜찮은 거지…?,-
19,무명,trickster,아이고~ 둘이 나만 빼고 놀고 있었던 거구나…!,-
20,무명,trickster,미아 두 명을 드디어 찾았네… 에휴.… 너네 때문에 오래 못 살겠다니까…,-
21,루시,fear,무명… 너도 진짜야…?,-
22,루시,fear,이거 꿈 아니지?,-
23,무명,embarrassed,얘 왜 이렇게 수척해졌냐? 말투도 루시답지 않아…,-
24,무명,embarrassed,비리비리는 이제 비리비리가 아니야…! 살이 올랐잖아…?,-
25,B-312,irritation,닥쳐.,-
26,무명,normal,B-312가 맞군.,-
27,루시,sad,엉엉엉…,-
28,루시,sad,날 기억하고 있었구나…,-
29,B-312,normal,당연히 기억하지.,-
30,무명,normal,늦게 데리러 와서 미안해^ 루시.,-
31,루시,sad,나도 미안하다냥…,-
32,루시,sad,아니다… 너네도 나빴다냥!!,-
33,루시,sad,하지만 미안하다냥…,-
