script_id,actor,emotion_id,context,background
1,무명,normal,이제 도착이다! 여기서부턴 정신 똑바로 차려야 해!,시내
2,루시,glad,주잉님이랑 더 가까워 졌다냥!,-
3,B-312,fear,하아악! 이상한 게 나를 비춘다! 없어져! 저리가!,-
4,-,-,(네온사인을 공격하려 애쓴다. 하지만 네온사인은 데미지를 입지 않는다.),-
5,B-312,anger,저 자식들 보호소에서 나온 걸지도!!!,-
6,무명,trickster,쿠쿠쿡… 그래 계속 열심히 공격해봐~,-
7,루시,glad,뭔가 춤을 추고 싶은 분위기다냥~ 댄스댄스~,-
8,루시,glad,나 이거 안다냥~ 주잉님도 이런 불빛이 켜지면 내 손을 붙잡고 같이 왈츠를 추셨다냥~ 신난다냥~,-
9,무명,trickster,크킄… 비리비리 너 언제까지 빛을 공격하려고 애쓸 거냐! 너 사실 개그캐지.,-
10,루시,glad,그러지 말고 비리비리도 같이 추자냥~,-
11,B-312,anger,하아악! 어딜 만지는 거야! ,-
12,-,-,(추다보니 신이난다.),-
13,루시,glad,댄스~ 댄스~,-
14,B-312,relief,어라… 이거 조금 재밌는 거 같기도…,-
15,무명,normal,(여유롭게 앉아 B-312의 몸부림과 루시의 춤을 감상한다.),-
16,-,-,(…),-
17,무명,normal,이제 슬슬 시내를 빠져나가자. 이렇게 며칠만 더 가면 토끼 동상이 나올 거야. ,-
18,루시,normal,지친다냥… 힘을 다 썼다냥…,-
19,무명,normal,자^ 횡단보도는 초록불일 때^ 조심해서 건너야 해.,-
20,무명,normal,바뀌었다!! 지금 빨리 건너자!,-
21,루시,nothing,어…? 저 빨간 원피스는 주잉님 거다냥…,-
22,루시,glad,저 사람 주잉님일 것이다냥! 이번엔 진짜다냥!!,-
23,-,-,(또 생각 없이 거리로 뛰어드는 루시.),-
