script_id,actor,emotion_id,context,background
1,루시,glad,주잉님!! 많이 기다렸냥??,black
2,루시,sad,루시 주잉님 보러오려고 노력했다냥… 생각보다 세상은 무서운 곳이었다냥…,-
3,루시,sad,모두 주잉님 같을 줄만 알았는데…,-
4,루시,glad,그래도 다시 만났으니 됐다냥! 주잉님 뭐하고 지냈냥! 울진 않았냥?,-
5,루시,glad,루시는 씩씩하게 안 울었다냥! …진짜다냥.,-
6,루시,glad,참! 주잉님 부모님도 보고 싶었다냥!,-
7,루시,normal,…,-
8,루시,normal,주잉님… 부모님…?,-
9,루시,fear,헉!!!!!,대학가
10,루시,sad,주잉님…,-
11,루시,sad,…내 옆엔 아무도 없다냥… 꿈이었다냥…,-
12,루시,sad,차라리 깨지 말걸 그랬다냥…,-
13,루시,sad,엉엉…!,-
14,동네주민 A,-,이 밤에 웬 고양이가 울어! 네가 쓰레기봉투 헤집어놨지?,-
15,동네주민 A,-,아유^ 못살겠다! 저리 가버려!,-
16,-,-,(파리채로 루시를 때린다.),-
17,루시,sad,내가 안 했다냥! 나한테 왜 그러냥!!!,-
18,루시,sad,여기서도 도망가야겠다냥…,-
19,루시,sad,내가 뭘 몰랐다냥… 세상 사람들은 주잉님과 정말 다르구냥…,-
20,루시,fear,이제 누구도 못 믿겠다냥…,-
21,루시,fear,나 혼자서 살아남아야 한다냥… 바뀌어야 한다냥…,-
22,-,-,(어두운 골목으로 들어가는 루시.),-
